user_id;username;user_nid;tweet_id;tweet_url;content;img;colorPred;time;timestamp;imgURL;tags;likes;retweets;replies;is_replied;is_reply_to;color_med
Peugeot;Peugeot;100186027;1106855148461195264;https://t.co/BFbMVh26Ha;Rediscover our iconic SUV, in its hybrid version. #Peugeot3008Hybrid #UnboringTheFuture #GIMSSWISS https://t.co/BFbMVh26Ha;jSTSfaG-TTaV3u7V.jpg;;2019-03-16 09:50:06;2019-03-16 09:50:06;http://pbs.twimg.com/amplify_video_thumb/1106855124406857728/img/jSTSfaG-TTaV3u7V.jpg;[{'indices': [50, 68], 'text': 'Peugeot3008Hybrid'}, {'indices': [69, 87], 'text': 'UnboringTheFuture'}, {'indices': [88, 98], 'text': 'GIMSSWISS'}];144;27;;;;(162, 164, 167)
Peugeot;Peugeot;100186027;1106495281380630528;https://t.co/WQrq4rNm2K;Are we #UnboringTheFuture yet? With the #Peugeot508Hybrid, we certainly are! #GIMSSWISS https://t.co/WQrq4rNm2K;5QnurPReD3N23NNY.jpg;;2019-03-15 10:00:07;2019-03-15 10:00:07;http://pbs.twimg.com/amplify_video_thumb/1106495256353271808/img/5QnurPReD3N23NNY.jpg;[{'indices': [7, 25], 'text': 'UnboringTheFuture'}, {'indices': [40, 57], 'text': 'Peugeot508Hybrid'}, {'indices': [77, 87], 'text': 'GIMSSWISS'}];197;23;;;;(158, 157, 167)
Peugeot;Peugeot;100186027;1106147727182884866;https://t.co/l84Uu9KpuP;The hybrid family is reunited for the #GIMSSWISS. Discover the range! #UnboringTheFuture https://t.co/l84Uu9KpuP;D1nTfEcW0AEaYpR.jpg;;2019-03-14 10:59:04;2019-03-14 10:59:04;http://pbs.twimg.com/media/D1nTfEcW0AEaYpR?format=jpg&name=thumb;[{'indices': [38, 48], 'text': 'GIMSSWISS'}, {'indices': [70, 88], 'text': 'UnboringTheFuture'}];145;21;;;;(92, 95, 98)
Peugeot;Peugeot;100186027;1105498390580940800;https://t.co/5uJOCXrWgP;This beauty is back! Appreciate the design of our #PeugeotElegend at the #GIMSSWISS! #UnboringTheFuture https://t.co/5uJOCXrWgP;zvfi3GwL52fLOCHx.jpg;;2019-03-12 15:58:50;2019-03-12 15:58:50;http://pbs.twimg.com/amplify_video_thumb/1105498363598983168/img/zvfi3GwL52fLOCHx.jpg;[{'indices': [50, 65], 'text': 'PeugeotElegend'}, {'indices': [73, 83], 'text': 'GIMSSWISS'}, {'indices': [85, 103], 'text': 'UnboringTheFuture'}];211;36;;;;(90, 82, 85)
Peugeot;Peugeot;100186027;1105082454166159360;https://t.co/HCMqcNXcH4;You saw this beauty in Paris, now it's wowing Geneva! #PeugeotELegend #GIMSSWISS #UnboringTheFuture https://t.co/HCMqcNXcH4;D1YKoMgW0AEU9jU.jpg;;2019-03-11 12:26:03;2019-03-11 12:26:03;http://pbs.twimg.com/media/D1YKoMgW0AEU9jU?format=jpg&name=thumb;[{'indices': [54, 69], 'text': 'PeugeotELegend'}, {'indices': [70, 80], 'text': 'GIMSSWISS'}, {'indices': [81, 99], 'text': 'UnboringTheFuture'}];317;70;;;;(61, 57, 53)
Peugeot;Peugeot;100186027;1104687639482040320;https://t.co/lYxBNdjuxF;Powerful silence. #Peugeot508Concept #UnboringTheFuture #GIMSSWISS https://t.co/lYxBNdjuxF;AWPCZGI173guK65n.jpg;;2019-03-10 10:17:12;2019-03-10 10:17:12;http://pbs.twimg.com/amplify_video_thumb/1104687592161849344/img/AWPCZGI173guK65n.jpg;[{'indices': [18, 36], 'text': 'Peugeot508Concept'}, {'indices': [37, 55], 'text': 'UnboringTheFuture'}, {'indices': [56, 66], 'text': 'GIMSSWISS'}];259;40;;;;(54, 51, 52)
Peugeot;Peugeot;100186027;1104000380260757505;https://t.co/PxptzaRfxJ;@Piekokas @bulstrom Today's your luck day, here's the stunning ELegend for you.. https://t.co/PxptzaRfxJ;D1Iyfa2WsAAHs0M.jpg;;2019-03-08 12:46:16;2019-03-08 12:46:16;http://pbs.twimg.com/media/D1Iyfa2WsAAHs0M?format=jpg&name=thumb;[];1;0;;;;(61, 65, 68)
Peugeot;Peugeot;100186027;1103337531238699008;https://t.co/zht6eHoBJL;@ibouseckpistols Will the inside of the 508 Peugeot Sport Engineered do? :) https://t.co/zht6eHoBJL;D0_XW3sXcAEC2gN.jpg;;2019-03-06 16:52:21;2019-03-06 16:52:21;http://pbs.twimg.com/media/D0_XW3sXcAEC2gN?format=jpg&name=thumb;[];1;1;;;;(53, 55, 56)
Peugeot;Peugeot;100186027;1103313393023414274;https://t.co/Z8ZFD9ySYv;"@JalouneixA We couldn't agree more ;) https://t.co/Z8ZFD9ySYv";D0_BlupX4AAz4UY.jpg;;2019-03-06 15:16:26;2019-03-06 15:16:26;http://pbs.twimg.com/media/D0_BlupX4AAz4UY?format=jpg&name=thumb;[];11;3;;;;(70, 67, 62)
Peugeot;Peugeot;100186027;1103313118875303936;https://t.co/uGlUKuFSJw;@bulstrom And here is the 3008 Hybrid :) https://t.co/uGlUKuFSJw;D0_BbPdX0AAJVh6.jpg;;2019-03-06 15:15:20;2019-03-06 15:15:20;http://pbs.twimg.com/media/D0_BbPdX0AAJVh6?format=jpg&name=thumb;[];3;0;;;;(135, 139, 143)
